date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:55:48	65452/65452	---M--	200	added ('OK')	application/font-woff	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/fonts/fontawesome-webfont.woff?v=4.2.0	C:/Meus%20Sites/copy/joelpinheiro.github.io/fonts/fontawesome-webfont78ce.woff	(from http://joelpinheiro.github.io/css/font-awesome.min.css)
22:55:48	1275/1275	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/img/left-arrow.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/img/left-arrow.png	(from http://joelpinheiro.github.io/css/style.css)
22:55:49	1273/1273	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/img/right-arrow.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/img/right-arrow.png	(from http://joelpinheiro.github.io/css/style.css)
22:55:49	24372/24372	---M--	200	added ('OK')	image/gif	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/img/preloader.gif	C:/Meus%20Sites/copy/joelpinheiro.github.io/img/preloader.gif	(from http://joelpinheiro.github.io/css/style.css)
22:55:49	1516/1516	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/img/slider_controls.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/img/slider_controls.png	(from http://joelpinheiro.github.io/css/style.css)
22:55:49	14260/14260	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/img/timeline-bg.jpg	C:/Meus%20Sites/copy/joelpinheiro.github.io/img/timeline-bg.jpg	(from http://joelpinheiro.github.io/css/style.css)
22:55:51	4289/4289	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/shadow1.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/shadow1.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:55:52	5661/5661	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/shadow2.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/shadow2.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:55:54	112160/112160	---M--	200	added ('OK')	font/ttf	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/fonts/fontawesome-webfont.ttf?v=4.2.0	C:/Meus%20Sites/copy/joelpinheiro.github.io/fonts/fontawesome-webfont78ce.ttf	(from http://joelpinheiro.github.io/css/font-awesome.min.css)
22:55:54	6428/6428	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/shadow3.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/shadow3.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:55:54	118/118	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/gridtile.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/gridtile.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:55:55	931/931	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/gridtile_white.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/gridtile_white.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:55:55	938/938	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/gridtile_3x3.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/gridtile_3x3.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:55:55	935/935	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/gridtile_3x3_white.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/gridtile_3x3_white.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:55:55	42935/42935	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/images/gradient/g30.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/images/gradient/g30.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:55:55	2746/2746	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/boxed_bgtile.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/boxed_bgtile.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:55:55	42464/42464	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/images/gradient/g40.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/images/gradient/g40.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:55:55	149/149	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/navigdots_bgtile.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/navigdots_bgtile.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:55:56	2254/2254	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/bullet.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/bullet.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:55:56	1153/1153	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/bullets.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/bullets.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:55:56	278/278	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/bullets2.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/bullets2.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:55:57	924/924	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/bullet_boxed.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/bullet_boxed.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:55:57	743/743	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/navigdots.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/navigdots.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:55:57	1517/1517	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/large_left.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/large_left.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:55:57	1561/1561	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/large_right.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/large_right.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:55:57	670/670	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/small_left.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/small_left.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:55:58	668/668	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/small_right.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/small_right.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:55:58	807/807	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/arrow_left.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/arrow_left.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:55:58	820/820	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/arrow_right.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/arrow_right.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:55:59	846/846	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/small_left_boxed.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/small_left_boxed.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:55:59	807/807	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/small_right_boxed.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/small_right_boxed.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:56:00	348/348	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/arrow_left2.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/arrow_left2.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:56:00	43543/43543	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/arrowleft.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/arrowleft.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:56:01	343/343	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/arrow_right2.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/arrow_right2.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:56:01	125/125	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/timer.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/timer.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:56:01	184/184	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/coloredbg.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/coloredbg.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:56:02	2545/2545	---M--	200	added ('OK')	image/gif	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/loader.gif	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/loader.gif	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:56:03	12136/12136	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/font/revicons.eot?5510888	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/font/revicons90c6.eot	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:56:03	43719/43719	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/assets/arrowright.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/assets/arrowright.png	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:56:03	7536/7536	---M--	200	added ('OK')	application/font-woff	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/font/revicons.woff?5510888	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/font/revicons90c6.woff	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:56:03	13532/13532	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/font/revicons.svg?5510888	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/font/revicons90c6.svg	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
22:56:04	11968/11968	---M--	200	added ('OK')	font/ttf	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/font/revicons.ttf?5510888	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/font/revicons90c6.ttf	(from http://joelpinheiro.github.io/rs-plugin/css/settings.css)
